,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NDVI,NDRE,TGI,VARI
129,2019_NYH2_plot_130,PHW65_MoG_0126/PHT69,130,1,,1,30,3,0.7807415233617045,0.49750678339220805,0.024500520111639754,0.3517134992177228
130,2019_NYH2_plot_131,PHW65_MoG_0127/PHT69,131,1,,1,31,3,0.8018861290248174,0.5055971213550694,0.02843158970758418,0.37778524143137876
131,2019_NYH2_plot_132,PHW65_MoG_0343/PHT69,132,1,,1,32,3,0.7406202971246744,0.46621535941148906,0.023174197736937716,0.33566986947420063
132,2019_NYH2_plot_133,PHW65_MoG_0055/PHT69,133,1,,1,33,3,0.7058738016194628,0.4355144266985766,0.023347125715118343,0.3657707469410741
133,2019_NYH2_plot_134,PHW65_MoG_0463/PHT69,134,1,,1,34,3,0.687604352847787,0.433457158722095,0.019390870226379364,0.3341849774655795
134,2019_NYH2_plot_135,PHW65_MoG_0183/PHT69,135,1,,1,35,3,0.7906130984576826,0.4940778036722692,0.026854246659499308,0.3647143407255058
135,2019_NYH2_plot_136,PHW65_MoG_0180/PHT69,136,1,,1,36,3,0.7434116285598392,0.47324882152097636,0.02283239578217308,0.3615856625839731
136,2019_NYH2_plot_137,PHW65_MoG_0250/PHT69,137,1,,1,37,3,0.7975474484665661,0.5081848604826547,0.02551773145155498,0.3829017183796596
137,2019_NYH2_plot_138,PHW65_MoG_0129/PHT69,138,1,,1,38,3,0.7707028342568198,0.48471580638682465,0.025078366675049212,0.3887417348943996
138,2019_NYH2_plot_139,PHW65_MoG_0018/PHT69,139,1,,1,39,3,0.79523342576637,0.48504581989453743,0.029802194426676074,0.3711290501338113
139,2019_NYH2_plot_140,PHW65_MoG_0124/PHT69,140,1,,1,40,3,0.7497024758889296,0.4654605927528674,0.025529326251488745,0.37148854319795804
140,2019_NYH2_plot_141,PHW65_MoG_0139/PHT69,141,1,,1,41,3,0.8108254107025417,0.5145007350198565,0.02544927575368368,0.3418414483688635
141,2019_NYH2_plot_142,PHW65_MoG_0218/PHT69,142,1,,1,42,3,0.8422652634671759,0.5262294133228271,0.02995965801464189,0.38498304986655807
142,2019_NYH2_plot_143,PHW65_MoG_0059/PHT69,143,1,,1,43,3,0.7794638883872489,0.492809857423588,0.025197276178999417,0.3666976652078787
143,2019_NYH2_plot_144,PHW65_MoG_0195/PHT69,144,1,,1,44,3,0.758824485809588,0.4749615612463101,0.024188349611786873,0.35022973238301147
144,2019_NYH2_plot_145,PHW65_MoG_0436/PHT69,145,1,,1,45,3,0.8117356763954828,0.5044856745670753,0.028329804225365584,0.36151612683635415
145,2019_NYH2_plot_146,PHW65_MoG_0106/PHT69,146,1,,1,46,3,0.8130367149872603,0.5263392523106852,0.024522255096053283,0.34407975682741465
146,2019_NYH2_plot_147,PHW65_MoG_0172/PHT69,147,1,,1,47,3,0.7971067278086169,0.4985013246109852,0.02881993223077542,0.36207578833903514
147,2019_NYH2_plot_148,B14A/MO17,148,1,,1,48,3,0.7809975004261596,0.4823929973676556,0.023175951883062925,0.33874992053459263
148,2019_NYH2_plot_149,PHW65_MoG_0442/PHT69,149,1,,1,49,3,0.7993983695104875,0.5039648315642786,0.02674741927299138,0.3550285991078496
149,2019_NYH2_plot_150,PHW65_MoG_0036/PHT69,150,1,,1,50,3,0.8140857500907049,0.5183910617260867,0.02682814812836248,0.3534759459465475
150,2019_NYH2_plot_151,Mo44_PHW65_0027/PHT69,151,1,,1,50,4,0.7768427957646203,0.4896582453025396,0.02300440674361731,0.3483379774886456
151,2019_NYH2_plot_152,Mo44_PHW65_0128/PHT69,152,1,,1,49,4,0.7449363284875762,0.47470390131305107,0.02026625732595229,0.3241464277844183
152,2019_NYH2_plot_153,Mo44_PHW65_0230/PHT69,153,1,,1,48,4,0.7861226675848085,0.49083956539032564,0.026228915506753013,0.38095418123063646
153,2019_NYH2_plot_154,Mo44_PHW65_0034/PHT69,154,1,,1,47,4,0.7706223843222768,0.4867916397328162,0.022895561920289305,0.34905156278217253
