plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2019_NYH2_plot_291,PHN11_PHW65_0552/PHT69,291,1,,1,10,6
2019_NYH2_plot_292,PHN11_PHW65_0347/PHT69,292,1,,1,9,6
2019_NYH2_plot_293,CG119/CG108,293,1,,1,8,6
2019_NYH2_plot_294,PHN11_PHW65_0453/PHT69,294,1,,1,7,6
2019_NYH2_plot_295,PHN11_PHW65_0423/PHT69,295,1,,1,6,6
2019_NYH2_plot_296,B37/H95,296,1,,1,5,6
2019_NYH2_plot_297,PHN11_PHW65_0310/PHT69,297,1,,1,4,6
2019_NYH2_plot_298,PHN11_PHW65_0015/PHT69,298,1,,1,3,6
2019_NYH2_plot_299,PHN11_PHW65_0277/PHT69,299,1,,1,2,6
2019_NYH2_plot_300,PHN11_PHW65_0087/PHT69,300,1,,1,1,6
2019_NYH2_plot_301,PHN11_PHW65_0176/PHT69,301,1,,1,1,7
2019_NYH2_plot_302,PHN11_PHW65_0505/PHT69,302,1,,1,2,7
2019_NYH2_plot_303,PHN11_PHW65_0048/PHT69,303,1,,1,3,7
2019_NYH2_plot_304,PHN11_PHW65_0407/PHT69,304,1,,1,4,7
2019_NYH2_plot_305,PHN11_PHW65_0092/PHT69,305,1,,1,5,7
2019_NYH2_plot_306,PHN11_PHW65_0100/PHT69,306,1,,1,6,7
2019_NYH2_plot_307,PHN11_PHW65_0209/PHT69,307,1,,1,7,7
2019_NYH2_plot_308,PHN11_PHW65_0081/PHT69,308,1,,1,8,7
2019_NYH2_plot_309,PHN11_PHW65_0105/PHT69,309,1,,1,9,7
2019_NYH2_plot_310,PHN11_PHW65_0066/PHT69,310,1,,1,10,7
2019_NYH2_plot_311,PHN11_PHW65_0237/PHT69,311,1,,1,11,7
2019_NYH2_plot_312,PHN11_PHW65_0443/PHT69,312,1,,1,12,7
2019_NYH2_plot_313,PHN11_PHW65_0291/PHT69,313,1,,1,13,7
2019_NYH2_plot_314,PHN11_PHW65_0614/PHT69,314,1,,1,14,7
2019_NYH2_plot_315,PHN11_PHW65_0021/PHT69,315,1,,1,15,7
2019_NYH2_plot_316,PHN11_PHW65_0227/PHT69,316,1,,1,16,7
2019_NYH2_plot_317,PHN11_PHW65_0158/PHT69,317,1,,1,17,7
2019_NYH2_plot_318,PHN11_PHW65_0402/PHT69,318,1,,1,18,7
2019_NYH2_plot_319,LH74/PHN82,319,1,,1,19,7
2019_NYH2_plot_320,PHN11_PHW65_0637/PHT69,320,1,,1,20,7
2019_NYH2_plot_321,PHN11_PHW65_0073/PHT69,321,1,,1,21,7
2019_NYH2_plot_322,PHN11_PHW65_0286/PHT69,322,1,,1,22,7
2019_NYH2_plot_323,PHN11_PHW65_0316/PHT69,323,1,,1,23,7
2019_NYH2_plot_324,PHN11_PHW65_0154/PHT69,324,1,,1,24,7
2019_NYH2_plot_325,PHN11_PHW65_0284/PHT69,325,1,,1,25,7
2019_NYH2_plot_326,PHN11_PHW65_0133/PHT69,326,1,,1,26,7
2019_NYH2_plot_327,PHN11_PHW65_0288/PHT69,327,1,,1,27,7
2019_NYH2_plot_328,LOCAL CHECK 1,328,1,1,1,28,7
2019_NYH2_plot_329,PHN11_PHW65_0329/PHT69,329,1,,1,29,7
2019_NYH2_plot_330,PHN11_PHW65_0322/PHT69,330,1,,1,30,7
2019_NYH2_plot_331,PHN11_PHW65_0374/PHT69,331,1,,1,31,7
2019_NYH2_plot_332,PHN11_PHW65_0359/PHT69,332,1,,1,32,7
2019_NYH2_plot_333,PHN11_PHW65_0408/PHT69,333,1,,1,33,7
2019_NYH2_plot_334,B73/PHM49,334,1,,1,34,7
2019_NYH2_plot_335,PHN11_PHW65_0206/PHT69,335,1,,1,35,7
2019_NYH2_plot_336,PHN11_PHW65_0478/PHT69,336,1,,1,36,7
2019_NYH2_plot_337,PHN11_PHW65_0365/PHT69,337,1,,1,37,7
2019_NYH2_plot_338,PHN11_PHW65_0390/PHT69,338,1,,1,38,7
